player_id,player_name,game_date,mean_pred,std_dev,model_type,n_archetypes,player_archetype,archetype_name,betting_line,bookmaker,edge,edge_pct,direction,prob_over,prob_under,current_pred,team_abbreviation,tier,tier_units,tier_expected_wr,tier_reason
1628398,Kyle Kuzma,2026-01-04,24.98824691772461,4.997649383544922,archetype,7,3,Traditional Bigs,17.5,fanduel,7.488246917724609,42.78998238699776,OVER,0.7139499119349888,0.2860500880650112,24.98824691772461,MIL,GOLD,2.0,0.552,OVER + Edge 42.8% >= 25%
1626220,Royce O'Neale,2026-01-04,20.37588882446289,4.075177764892579,archetype,7,6,Low-Usage Role Players,14.5,fanduel,5.875888824462891,40.52337120319235,OVER,0.7026168560159618,0.2973831439840382,20.37588882446289,PHX,GOLD,2.0,0.552,OVER + Edge 40.5% >= 25%
1628960,Grayson Allen,2026-01-04,22.64763069152832,4.529526138305664,archetype,7,6,Low-Usage Role Players,16.5,fanduel,6.14763069152832,37.25836782744437,OVER,0.6862918391372218,0.3137081608627782,22.64763069152832,PHX,GOLD,2.0,0.552,OVER + Edge 37.3% >= 25%
1629637,Jaxson Hayes,2026-01-04,14.356590270996094,2.871318054199219,archetype,7,6,Low-Usage Role Players,10.5,betmgm,3.8565902709960938,36.72943115234375,OVER,0.6836471557617188,0.3163528442382812,14.356590270996094,LAL,GOLD,2.0,0.552,OVER + Edge 36.7% >= 25%
1629652,Luguentz Dort,2026-01-04,15.430059432983398,3.0860118865966797,archetype,7,6,Low-Usage Role Players,11.5,betmgm,3.9300594329833984,34.174429852029554,OVER,0.6708721492601477,0.3291278507398523,15.430059432983398,OKC,GOLD,2.0,0.552,OVER + Edge 34.2% >= 25%
1631109,Mark Williams,2026-01-04,26.382476806640625,5.276495361328125,archetype,7,4,Playmaking Bigs,20.5,betonlineag,5.882476806640625,28.695008812881095,OVER,0.6434750440644055,0.3565249559355945,26.382476806640625,PHX,GOLD,2.0,0.552,OVER + Edge 28.7% >= 25%
1641731,Bilal Coulibaly,2026-01-04,23.450273513793945,4.690054702758789,archetype,7,3,Traditional Bigs,18.5,fanduel,4.950273513793945,26.758235209697,OVER,0.633791176048485,0.366208823951515,23.450273513793945,WAS,GOLD,2.0,0.552,OVER + Edge 26.8% >= 25%
1629020,Jarred Vanderbilt,2026-01-04,15.418601036071776,3.0837202072143555,archetype,7,6,Low-Usage Role Players,12.5,betmgm,2.9186010360717773,23.34880828857422,OVER,0.6167440414428711,0.3832559585571289,15.418601036071776,LAL,SILVER,1.5,0.545,OVER + Edge 23.3% in [20-25%]
1631093,Jaden Ivey,2026-01-04,18.87725257873535,3.7754505157470706,archetype,7,3,Traditional Bigs,15.5,fanduel,3.3772525787353516,21.788726314421623,OVER,0.6089436315721081,0.3910563684278919,18.87725257873535,DET,SILVER,1.5,0.545,OVER + Edge 21.8% in [20-25%]
1642847,Jeremiah Fears,2026-01-04,22.391706466674805,4.478341293334961,archetype,7,1,Secondary Scorers,18.5,fanduel,3.8917064666748047,21.036251171215163,OVER,0.6051812558560759,0.3948187441439241,22.391706466674805,NOP,SILVER,1.5,0.545,OVER + Edge 21.0% in [20-25%]
203932,Aaron Gordon,2026-01-04,3.957080841064453,0.7914161682128906,archetype,7,3,Traditional Bigs,19.5,draftkings,-15.542919158935549,79.70727773813101,UNDER,0.2,0.8,3.957080841064453,DEN,BRONZE,1.0,0.572,UNDER + Edge 79.7% >= 30% (57.2% WR)
1630560,Cam Thomas,2026-01-04,10.558486938476562,2.1116973876953127,archetype,7,3,Traditional Bigs,23.5,betmgm,-12.941513061523438,55.07026834690825,UNDER,0.2246486582654587,0.7753513417345412,10.558486938476562,BKN,BRONZE,1.0,0.572,UNDER + Edge 55.1% >= 30% (57.2% WR)
1631128,Christian Braun,2026-01-04,9.96433925628662,1.9928678512573244,archetype,7,3,Traditional Bigs,17.5,draftkings,-7.535660743713379,43.060918535505024,UNDER,0.2846954073224749,0.7153045926775251,9.96433925628662,DEN,BRONZE,1.0,0.572,UNDER + Edge 43.1% >= 30% (57.2% WR)
1631221,Collin Gillespie,2026-01-04,14.21961784362793,2.843923568725586,archetype,7,2,3-and-D Wings,23.5,fanduel,-9.28038215637207,39.49098789945562,UNDER,0.3025450605027219,0.6974549394972781,14.21961784362793,PHX,BRONZE,1.0,0.572,UNDER + Edge 39.5% >= 30% (57.2% WR)
1642281,Jaylon Tyson,2026-01-04,12.906187057495115,2.5812374114990235,archetype,7,2,3-and-D Wings,20.5,betonlineag,-7.593812942504883,37.04298996343846,UNDER,0.3147850501828077,0.6852149498171922,12.906187057495115,CLE,BRONZE,1.0,0.572,UNDER + Edge 37.0% >= 30% (57.2% WR)
