player_id,player_name,game_date,mean_pred,std_dev,model_type,n_archetypes,player_archetype,archetype_name,betting_line,bookmaker,edge,edge_pct,direction,prob_over,prob_under,current_pred,team_abbreviation,tier,tier_units,tier_expected_wr,tier_reason
1630171,Isaac Okoro,2026-01-08,15.209465026855469,3.0418930053710938,archetype,7,6,Low-Usage Role Players,11.5,betmgm,3.7094650268554688,32.256217624830164,OVER,0.6612810881241509,0.3387189118758491,15.209465026855469,CHI,GOLD,2.0,0.552,OVER + Edge 32.3% >= 25%
1629636,Darius Garland,2026-01-08,35.241424560546875,7.048284912109375,archetype,7,1,Secondary Scorers,27.5,fanduel,7.741424560546875,28.150634765625,OVER,0.640753173828125,0.359246826171875,35.241424560546875,CLE,GOLD,2.0,0.552,OVER + Edge 28.2% >= 25%
1630172,Patrick Williams,2026-01-08,13.294965744018556,2.6589931488037113,archetype,7,6,Low-Usage Role Players,10.5,betmgm,2.7949657440185547,26.61872137160528,OVER,0.6330936068580264,0.3669063931419736,13.294965744018556,CHI,GOLD,2.0,0.552,OVER + Edge 26.6% >= 25%
1629012,Collin Sexton,2026-01-08,24.072256088256836,4.814451217651367,archetype,7,3,Traditional Bigs,19.5,fanduel,4.572256088256836,23.447467119265823,OVER,0.6172373355963291,0.3827626644036709,24.072256088256836,CHA,SILVER,1.5,0.545,OVER + Edge 23.4% in [20-25%]
1642271,Kyle Filipowski,2026-01-08,4.3079352378845215,0.8615870475769043,archetype,7,6,Low-Usage Role Players,21.5,fanduel,-17.19206476211548,79.96309191681618,UNDER,0.2,0.8,4.3079352378845215,UTA,BRONZE,1.0,0.572,UNDER + Edge 80.0% >= 30% (57.2% WR)
1629632,Coby White,2026-01-08,8.403823852539062,1.6807647705078126,archetype,7,3,Traditional Bigs,24.5,fanduel,-16.096176147460938,65.69867815290179,UNDER,0.2,0.8,8.403823852539062,CHI,BRONZE,1.0,0.572,UNDER + Edge 65.7% >= 30% (57.2% WR)
1630162,Anthony Edwards,2026-01-08,26.687274932861328,5.337454986572266,archetype,7,1,Secondary Scorers,39.5,fanduel,-12.812725067138672,32.437278650983984,UNDER,0.3378136067450801,0.6621863932549199,26.687274932861328,MIN,BRONZE,1.0,0.572,UNDER + Edge 32.4% >= 30% (57.2% WR)
1629675,Naz Reid,2026-01-08,16.42570686340332,3.2851413726806644,archetype,7,6,Low-Usage Role Players,23.5,draftkings,-7.07429313659668,30.103375049347576,UNDER,0.3494831247532621,0.6505168752467378,16.42570686340332,MIN,BRONZE,1.0,0.572,UNDER + Edge 30.1% >= 30% (57.2% WR)
