game_date,player_id,player_name,betting_line,current_pred,current_std,current_prob,twostage_pred,twostage_std,twostage_prob,twostage_minutes_q50,actual_pra,actual_minutes,logged_at,updated_at,team_abbreviation,edge,edge_pct,direction,current_direction,twostage_direction,models_agree,tier,tier_units,tier_expected_wr,tier_reason
2025-12-14,1629632,Coby White,30.5,34.70423126220703,2.533541202545166,0.9560909253595572,37.228462981757616,12.461395366313525,0.708,29.13661193847656,30.0,28.466666666666665,2025-12-15T11:01:33.951240,2025-12-19T22:53:19.291750,CHI,4.204231262207031,13.784364794121414,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.71 in [0.60-0.75], Edge 13.8%"
2025-12-14,1642852,Derik Queen,26.5,31.337364196777344,1.9166446924209597,0.9959297742742366,30.77230841233419,11.329981425264476,0.662,29.70977210998535,17.0,24.766666666666666,2025-12-15T11:01:33.970526,2025-12-19T22:53:19.291750,NOP,4.837364196777344,18.25420451614092,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.66 in [0.60-0.75], Edge 18.3%"
2025-12-14,1628370,Malik Monk,16.5,22.014169692993164,1.396478533744812,0.99999202881159,22.603995087342525,12.82781408358975,0.658,22.949020385742188,22.0,26.75,2025-12-15T11:01:34.039630,2025-12-19T22:53:19.291750,SAC,5.514169692993164,33.41921026056463,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.66 in [0.60-0.75], Edge 33.4%"
2025-12-14,203897,Zach LaVine,25.5,29.314294815063477,1.88728928565979,0.9818842059830504,28.960123301527265,10.354541991696848,0.622,31.899761199951172,12.0,15.666666666666666,2025-12-15T11:01:34.111403,2025-12-19T22:53:19.291750,SAC,3.814294815063477,14.95801888260187,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.62 in [0.60-0.75], Edge 15.0%"
2025-12-14,1630581,Josh Giddey,37.5,41.54851913452149,1.8149292469024656,0.9890720570615518,40.04986858744255,8.55522482485463,0.614,34.09109878540039,23.0,24.066666666666666,2025-12-15T11:01:34.024383,2025-12-19T22:53:19.291750,CHI,4.0485191345214915,10.796051025390645,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.61 in [0.60-0.75], Edge 10.8%"
2025-12-14,2544,LeBron James,33.5,36.151119232177734,2.0473055839538574,0.9047355671726838,35.86765727880651,10.144917808250764,0.59,33.04111862182617,33.0,36.233333333333334,2025-12-15T11:01:34.035983,2025-12-19T22:53:19.291750,LAL,2.6511192321777344,7.913788752769356,OVER,OVER,OVER,True,HIGH_VOLATILITY,1.0,0.55,"TwoStage STD 10.1 in [10-15], Prob 0.59"
2025-12-14,203497,Rudy Gobert,25.5,26.877944946289062,1.8091717958450315,0.7741325623744136,26.648152829892773,10.079500242127883,0.558,31.97041702270508,22.0,20.066666666666666,2025-12-15T11:01:34.075572,2025-12-19T22:53:19.291750,MIN,1.3779449462890625,5.403705671721814,OVER,OVER,OVER,True,HIGH_VOLATILITY,1.0,0.55,"TwoStage STD 10.1 in [10-15], Prob 0.56"
