game_date,player_id,player_name,betting_line,current_pred,current_std,current_prob,twostage_pred,twostage_std,twostage_prob,twostage_minutes_q50,actual_pra,actual_minutes,logged_at,updated_at,edge,edge_pct,direction,current_direction,twostage_direction,models_agree,tier,tier_units,tier_expected_wr,tier_reason
2025-12-20,1628415,Dillon Brooks,24.5,30.761859893798828,2.692037343978882,0.9933582721842846,31.07477824031843,10.36304474557631,0.746,31.538694381713867,,,2025-12-21T00:07:25.340245,,6.261859893798828,25.558611811423788,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.75 in [0.60-0.75], Edge 25.6%"
2025-12-20,1626164,Devin Booker,34.5,39.49652099609375,3.8431973457336426,0.907672819043862,42.5215050972214,12.225780471886203,0.744,34.617462158203125,,,2025-12-21T00:07:25.334860,,4.99652099609375,14.482669553894928,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.74 in [0.60-0.75], Edge 14.5%"
2025-12-20,1642843,Cooper Flagg,28.5,35.5348014831543,2.999953269958496,0.9936458790742564,34.189594736942084,8.356613028641519,0.74,34.7546272277832,,,2025-12-21T00:07:25.302739,,7.034801483154297,24.68351397597999,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.74 in [0.60-0.75], Edge 24.7%"
2025-12-20,1628401,Derrick White,28.5,31.99866104125977,1.8908557891845703,0.971448023481558,33.45227437354665,8.336762810162714,0.734,34.37629318237305,,,2025-12-21T00:07:25.324171,,3.498661041259769,12.27600365354305,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.73 in [0.60-0.75], Edge 12.3%"
2025-12-20,1627751,Jakob Poeltl,20.5,26.270326614379883,2.6418650150299072,0.9902066436523012,27.56724788394508,10.959445816588287,0.732,27.6720027923584,,,2025-12-21T00:07:25.379533,,5.770326614379883,28.147934704292112,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.73 in [0.60-0.75], Edge 28.1%"
2025-12-20,1630541,Moses Moody,13.5,19.82502555847168,1.5913690328598022,0.9999961169672816,19.908441871436835,9.223931368210788,0.726,24.431655883789062,,,2025-12-21T00:07:25.519622,,6.32502555847168,46.85204117386429,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.73 in [0.60-0.75], Edge 46.9%"
2025-12-20,1630567,Scottie Barnes,32.5,37.14406967163086,2.5491747856140137,0.9699909994970828,38.45362810902056,9.813761238650518,0.718,35.540096282958984,,,2025-12-21T00:07:25.594992,,4.644069671630859,14.289445143479568,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.72 in [0.60-0.75], Edge 14.3%"
2025-12-20,1630163,LaMelo Ball,30.5,36.18705749511719,3.453691005706787,0.9563257966062096,38.50632612959907,15.03758590711282,0.702,28.678726196289062,,,2025-12-21T00:07:25.490997,,5.6870574951171875,18.646090147925204,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.70 in [0.60-0.75], Edge 18.6%"
2025-12-20,1642845,VJ Edgecombe,23.5,29.563373565673828,2.071364641189575,0.9991306214520712,28.08465542496809,10.026081006373715,0.694,32.49836349487305,,,2025-12-21T00:07:25.653924,,6.063373565673828,25.801589641165222,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.69 in [0.60-0.75], Edge 25.8%"
2025-12-20,1631095,Jabari Smith Jr.,24.5,29.41425132751465,1.9981110095977783,0.9951811345543704,29.63690014180748,8.75174896059899,0.69,35.02482223510742,,,2025-12-21T00:07:25.373404,,4.914251327514648,20.05816868373326,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.69 in [0.60-0.75], Edge 20.1%"
2025-12-20,202331,Paul George,25.5,31.744606018066406,2.4101343154907227,0.9970899960231032,32.02062975604142,13.889194895852992,0.69,28.034610748291016,,,2025-12-21T00:07:25.553631,,6.244606018066406,24.488651051240808,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.69 in [0.60-0.75], Edge 24.5%"
2025-12-20,201566,Russell Westbrook,30.5,33.26345443725586,2.697971820831299,0.8477572178467678,34.83394904529441,10.421004019305876,0.67,31.30089569091797,,,2025-12-21T00:07:25.583375,,2.7634544372558594,9.060506351658555,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.67 in [0.60-0.75], Edge 9.1%"
2025-12-20,1631099,Keegan Murray,24.5,27.49980735778809,3.1090359687805176,0.8325566117538997,27.797299765592093,7.59759429215695,0.666,35.811771392822266,,,2025-12-21T00:07:25.446018,,2.9998073577880895,12.244111664441181,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.67 in [0.60-0.75], Edge 12.2%"
