player_id,player_name,game_date,mean_pred,std_dev,std_dev_raw,var_pred_raw,var_pred_calibrated,pra_line,bookmaker,pra_odds,line_for_prob,betting_line,prob_over,prob_under,breakeven_prob,edge_over,edge_under,confidence_score,cv,current_pred,team_abbreviation,edge,edge_pct,direction,tier,tier_units,tier_expected_wr,tier_reason
1642856,Egor Dëmin,2025-12-29,24.088783,1.5776383,1.5776383,0.62223566,2.4889426,16.5,fanduel,-114.0,16.5,16.5,0.999999968936286,3.1063714045487245e-08,0.5327102803738317,0.4672896885624542,-0.5327102493101177,0.999999937872572,0.065492645,24.088783,BKN,7.588782999999999,45.99262424242424,OVER,GOLD,2.0,0.606,OVER + Edge 46.0% >= 25%
1630200,Tre Jones,2025-12-29,21.015049,1.9210943,1.9210943,0.9226508,3.6906033,15.5,fanduel,-122.0,15.5,15.5,0.9991493136812748,0.000850686318725,0.5495495495495496,0.4495997641317253,-0.5486988632308245,0.9982986273625498,0.09141516,21.015049,CHI,5.515049000000001,35.58096129032259,OVER,GOLD,2.0,0.606,OVER + Edge 35.6% >= 25%
1628368,De'Aaron Fox,2025-12-29,36.75479,2.2524135,2.2524135,1.2683417,5.0733666,28.5,fanduel,-122.0,28.5,28.5,0.999962699890018,3.730010998204136e-05,0.5495495495495496,0.4504131503404683,-0.5495122494395676,0.999925399780036,0.061282173,36.75479,SAS,8.25479,28.96417543859649,OVER,GOLD,2.0,0.606,OVER + Edge 29.0% >= 25%
1631200,Kris Murray,2025-12-29,15.805423,1.2962252,1.2962252,0.42004994,1.6801997,12.5,fanduel,-132.0,12.5,12.5,0.9967887423279784,0.0032112576720214,0.5689655172413793,0.4278232250865992,-0.5657542595693579,0.9935774846559572,0.08201142,15.805423,POR,3.3054229999999993,26.44338399999999,OVER,GOLD,2.0,0.606,OVER + Edge 26.4% >= 25%
1628389,Bam Adebayo,2025-12-29,9.24047,3.9042654,3.9042654,3.810822,15.243288,29.5,fanduel,-104.0,29.5,29.5,0.0002118766524195,0.9997881233475804,0.5098039215686274,-0.5095920449162079,0.4899842017789531,0.999576246695161,0.42251801,9.24047,MIA,-20.259529999999998,68.67637288135593,UNDER,BRONZE,1.0,0.56,UNDER + Edge 68.7% >= 30%
1630558,Davion Mitchell,2025-12-29,12.370679,3.62749,3.62749,3.289671,13.158684,18.5,fanduel,-128.0,18.5,18.5,0.0587391638925953,0.9412608361074046,0.5614035087719298,-0.5026643448793344,0.3798573273354748,0.8825216722148093,0.2932329,12.370679,MIA,-6.129320999999999,33.13146486486486,UNDER,BRONZE,1.0,0.56,UNDER + Edge 33.1% >= 30%
1630596,Evan Mobley,2025-12-29,16.566898,2.5815892,2.5815892,1.6661507,6.6646028,24.5,fanduel,-102.0,24.5,24.5,0.0031091838925391,0.9968908161074608,0.504950495049505,-0.5018413111569658,0.4919403210579559,0.9937816322149218,0.15582813,16.566898,CLE,-7.933102000000002,32.38000816326531,UNDER,BRONZE,1.0,0.56,UNDER + Edge 32.4% >= 30%
