player_id,player_name,game_date,mean_pred,std_dev,model_type,n_archetypes,player_archetype,archetype_name,betting_line,bookmaker,edge,edge_pct,direction,prob_over,prob_under,current_pred,team_abbreviation,tier,tier_units,tier_expected_wr,tier_reason
1641705,Victor Wembanyama,2026-01-06,43.70586013793945,8.741172027587892,archetype,7,5,Bench Scorers,32.5,fanduel,11.205860137939451,34.47956965519832,OVER,0.6723978482759916,0.3276021517240084,43.70586013793945,SAS,GOLD,2.0,0.552,OVER + Edge 34.5% >= 25%
203897,Zach LaVine,2026-01-06,34.246620178222656,6.849324035644532,archetype,7,1,Secondary Scorers,26.5,fanduel,7.746620178222656,29.23252897442512,OVER,0.6461626448721256,0.3538373551278744,34.246620178222656,SAC,GOLD,2.0,0.552,OVER + Edge 29.2% >= 25%
203084,Harrison Barnes,2026-01-06,19.87342643737793,3.974685287475586,archetype,7,6,Low-Usage Role Players,15.5,fanduel,4.37342643737793,28.21565443469632,OVER,0.6410782721734816,0.3589217278265184,19.87342643737793,SAS,GOLD,2.0,0.552,OVER + Edge 28.2% >= 25%
1642847,Jeremiah Fears,2026-01-06,24.98695182800293,4.9973903656005865,archetype,7,1,Secondary Scorers,19.5,fanduel,5.48695182800293,28.138214502579128,OVER,0.6406910725128956,0.3593089274871044,24.98695182800293,NOP,GOLD,2.0,0.552,OVER + Edge 28.1% >= 25%
1628368,De'Aaron Fox,2026-01-06,39.88418197631836,7.976836395263672,archetype,7,1,Secondary Scorers,31.5,fanduel,8.38418197631836,26.61645071847098,OVER,0.6330822535923549,0.3669177464076451,39.88418197631836,SAS,GOLD,2.0,0.552,OVER + Edge 26.6% >= 25%
203952,Andrew Wiggins,2026-01-06,26.104372024536133,5.220874404907227,archetype,7,3,Traditional Bigs,21.5,fanduel,4.604372024536133,21.41568383505178,OVER,0.607078419175259,0.392921580824741,26.104372024536133,MIA,SILVER,1.5,0.545,OVER + Edge 21.4% in [20-25%]
1628386,Jarrett Allen,2026-01-06,6.068692684173584,1.2137385368347169,archetype,7,4,Playmaking Bigs,26.5,fanduel,-20.431307315826416,77.099272889911,UNDER,0.2,0.8,6.068692684173584,CLE,BRONZE,1.0,0.572,UNDER + Edge 77.1% >= 30% (57.2% WR)
1630183,Jaden McDaniels,2026-01-06,11.53503131866455,2.30700626373291,archetype,7,6,Low-Usage Role Players,20.5,fanduel,-8.96496868133545,43.731554543099755,UNDER,0.2813422272845012,0.7186577727154988,11.53503131866455,MIN,BRONZE,1.0,0.572,UNDER + Edge 43.7% >= 30% (57.2% WR)
1642281,Jaylon Tyson,2026-01-06,13.489294052124023,2.6978588104248047,archetype,7,2,3-and-D Wings,23.5,fanduel,-10.010705947875977,42.59874871436586,UNDER,0.2870062564281707,0.7129937435718293,13.489294052124023,CLE,BRONZE,1.0,0.572,UNDER + Edge 42.6% >= 30% (57.2% WR)
1628978,Donte DiVincenzo,2026-01-06,13.45490264892578,2.6909805297851563,archetype,7,6,Low-Usage Role Players,21.5,fanduel,-8.045097351074219,37.419057446856826,UNDER,0.3129047127657158,0.6870952872342841,13.45490264892578,MIN,BRONZE,1.0,0.572,UNDER + Edge 37.4% >= 30% (57.2% WR)
1630173,Precious Achiuwa,2026-01-06,9.677658081054688,1.9355316162109375,archetype,7,6,Low-Usage Role Players,14.5,betonlineag,-4.8223419189453125,33.25753047548491,UNDER,0.3337123476225754,0.6662876523774246,9.677658081054688,SAC,BRONZE,1.0,0.572,UNDER + Edge 33.3% >= 30% (57.2% WR)
1629639,Tyler Herro,2026-01-06,16.78237533569336,3.356475067138672,archetype,7,1,Secondary Scorers,24.5,fanduel,-7.717624664306641,31.500508833904657,UNDER,0.3424974558304767,0.6575025441695233,16.78237533569336,MIA,BRONZE,1.0,0.572,UNDER + Edge 31.5% >= 30% (57.2% WR)
