game_date,player_id,player_name,betting_line,current_pred,current_std,current_prob,twostage_pred,twostage_std,twostage_prob,twostage_minutes_q50,actual_pra,actual_minutes,logged_at,updated_at,team_abbreviation,edge,edge_pct,direction,current_direction,twostage_direction,models_agree,tier,tier_units,tier_expected_wr,tier_reason
2025-12-17,1630245,Ayo Dosunmu,16.5,21.21454429626465,3.194419860839844,0.9395243214045136,20.22683948100874,7.308038479015634,0.672,30.06360244750977,0.0,0.0,2025-12-17T20:32:41.692169,2025-12-19T22:53:19.310223,CHI,4.714544296264648,28.572995734937265,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.67 in [0.60-0.75], Edge 28.6%"
2025-12-17,1630162,Anthony Edwards,37.5,39.44405746459961,2.989915132522583,0.7375560148965065,40.86420031945298,9.095845024382214,0.636,36.65229034423828,0.0,0.0,2025-12-17T20:32:41.687320,2025-12-19T22:53:19.310223,MIN,1.9440574645996096,5.184153238932292,OVER,OVER,OVER,True,GOLDEN,1.5,0.55,"TwoStage prob 0.64 in [0.60-0.75], Edge 5.2%"
2025-12-17,1630200,Tre Jones,16.5,20.98456764221191,2.161431789398194,0.9864236843935872,21.47562604137919,13.83995474123713,0.57,17.01898956298828,23.0,24.283333333333335,2025-12-17T20:32:41.782781,2025-12-19T22:53:19.310223,CHI,4.4845676422119105,27.179197831587334,OVER,OVER,OVER,True,HIGH_VOLATILITY,1.0,0.55,"TwoStage STD 13.8 in [10-15], Prob 0.57"
